Day,Temperature,Wind,Play
Sunny,High,Strong,no
Sunny,Normal,Weak,yes
Rain,Normal,Weak,yes
Sunny,Normal,Strong,yes
Overcast,Normal,Strong,yes
Overcast,High,Weak,yes
Rain,Normal,Strong,no
Sunny,Normal,Strong,yes
Overcast,High,Weak,yes
Sunny,High,Strong,no
Overcast,High,Strong,yes
Overcast,High,Weak,yes
Rain,High,Strong,no
Sunny,High,Weak,no
Sunny,High,Weak,no
Sunny,Normal,Strong,yes
Overcast,Normal,Weak,yes
Overcast,High,Weak,yes
Rain,High,Weak,yes
Rain,Normal,Strong,no
Rain,Normal,Strong,no
Rain,High,Strong,no
Rain,Normal,Weak,yes
Rain,High,Strong,no
Sunny,High,Weak,no
Overcast,Normal,Strong,yes
Rain,High,Strong,no
Overcast,High,Strong,yes
Rain,High,Weak,yes
Sunny,Normal,Weak,yes
Sunny,Normal,Weak,yes
Rain,High,Weak,yes
Overcast,High,Weak,yes
Sunny,Normal,Strong,yes
Rain,High,Weak,yes
Rain,High,Strong,no
Sunny,Normal,Weak,yes
Sunny,High,Weak,no
Rain,High,Strong,no
Sunny,High,Weak,no
Rain,High,Weak,yes
Rain,High,Strong,no
Rain,Normal,Weak,yes
Sunny,Normal,Strong,yes
Sunny,Normal,Weak,yes
Rain,High,Weak,yes
Rain,High,Strong,no
Rain,Normal,Strong,no
Overcast,High,Weak,yes
Sunny,High,Strong,no
